Symbol,UnderlyingPrice,OptionSymbol,Type,Expiration,DataData,Strike,Volume,OpenInterest,IV,Delta,Gamma,Theta,Vega,PurchasePrice,ExpirationPrice,Profit
AAPL,150.05,AAPL171020C00025000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,25.0,0,0,2.4869,0.9831,0.024,-4.6001,2.9502,126.75,126.75,-25.0
AAPL,150.05,AAPL171020P00025000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,25.0,0,0,2.5444,-0.0178,0.0246,-4.905,3.0862,1.86,1.86,25.0
AAPL,150.05,AAPL171020C00030000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,30.0,0,0,2.2442,0.9802,0.0304,-4.7465,3.3714,121.8,121.8,-30.000000000000014
AAPL,150.05,AAPL171020P00030000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,30.0,0,0,2.396,-0.0229,0.0323,-5.7162,3.8195,2.28,2.28,30.0
AAPL,150.05,AAPL171020C00035000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,35.0,0,0,2.0444,0.9773,0.0376,-4.8666,3.7925,118.05,118.05,-35.000000000000014
AAPL,150.05,AAPL171020P00035000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,35.0,0,0,2.1684,-0.0261,0.0397,-5.7584,4.2518,2.28,2.28,35.0
AAPL,150.05,AAPL171020C00040000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,40.0,0,0,1.8506,0.975,0.045,-4.7732,4.1062,111.8,111.8,-40.000000000000014
AAPL,150.05,AAPL171020P00040000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,40.0,0,320,1.7931,-0.023,0.0433,-4.287,3.8281,1.5,1.5,40.0
AAPL,150.05,AAPL171020C00045000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,45.0,0,0,1.8185,0.9672,0.0574,-5.8771,5.1478,107.4,107.4,-45.0
AAPL,150.05,AAPL171020P00045000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,45.0,0,10,1.5869,-0.0231,0.0491,-3.8096,3.844,0.04,0.04,45.0
AAPL,150.05,AAPL171020C00050000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,50.0,0,0,1.5556,0.9695,0.0631,-4.7377,4.8418,81.76,81.76,-49.999999999999986
AAPL,150.05,AAPL171020P00050000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,50.0,0,0,1.6612,-0.0357,0.0673,-5.7255,5.5193,2.27,2.27,50.0
AAPL,150.05,AAPL171020C00055000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,55.0,0,1,1.4317,0.9666,0.0739,-4.704,5.2197,96.21,96.21,-54.999999999999986
AAPL,150.05,AAPL171020P00055000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,55.0,0,120,1.3478,-0.0283,0.0684,-3.8282,4.5486,0.04,0.04,55.0
AAPL,150.05,AAPL171020C00060000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,60.0,0,0,1.3104,0.9642,0.0855,-4.564,5.5279,92.65,92.65,-60.0
AAPL,150.05,AAPL171020P00060000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,60.0,0,1124,1.4495,-0.0454,0.0938,-6.0724,6.7094,0.05,0.05,60.0
AAPL,150.05,AAPL171020C00065000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,65.0,0,0,1.2798,0.9551,0.1052,-5.3524,6.6429,66.75,66.75,-65.0
AAPL,150.05,AAPL171020P00065000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,65.0,0,241,1.0497,-0.0256,0.0809,-2.7477,4.1928,0.02,0.02,65.0
AAPL,150.05,AAPL171020C00070000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,70.0,0,1,1.1809,0.9512,0.1219,-5.286,7.1054,83.1,83.1,-70.0
AAPL,150.05,AAPL171020P00070000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,70.0,0,1530,0.9687,-0.0281,0.0947,-2.7389,4.529,0.01,0.01,70.0
AAPL,150.05,AAPL171020C00075000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,75.0,0,0,1.089,0.947,0.1413,-5.2112,7.5906,77.98,77.98,-75.00000000000001
AAPL,150.05,AAPL171020P00075000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,75.0,0,1083,0.5295,-0.0017,0.0149,-0.1289,0.3901,0.02,0.02,75.0
AAPL,150.05,AAPL171020C00080000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,80.0,0,231,1.0273,0.9394,0.1665,-5.4646,8.4377,74.7,74.7,-79.99999999999999
AAPL,150.05,AAPL171020P00080000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,80.0,10,876,0.4837,-0.0019,0.0179,-0.1288,0.4266,0.01,0.01,80.0
AAPL,150.05,AAPL171020C00085000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,85.0,0,8,0.9223,0.9374,0.19,-5.0356,8.6481,61.1,61.1,-85.0
AAPL,150.05,AAPL171020P00085000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,85.0,0,1012,0.4585,-0.0029,0.0277,-0.1791,0.6259,0.02,0.02,85.0
AAPL,150.05,AAPL171020C00090000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,90.0,0,53,0.8459,0.9319,0.2212,-4.9342,9.232,63.8,63.8,-90.00000000000001
AAPL,150.05,AAPL171020P00090000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,90.0,90,981,0.429,-0.004,0.0397,-0.2248,0.8401,0.03,0.03,90.0
AAPL,150.05,AAPL171020C00095000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,95.0,0,62,0.7733,0.9258,0.2585,-4.8227,9.8625,54.7,54.7,-94.99999999999999
AAPL,150.05,AAPL171020P00095000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,95.0,1380,1746,0.375,-0.0035,0.0401,-0.1737,0.7426,0.03,0.03,95.0
AAPL,150.05,AAPL171020C00100000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,100.0,0,481,0.7039,0.9189,0.3037,-4.7002,10.5494,48.0,48.0,-100.0
AAPL,150.05,AAPL171020P00100000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,100.0,75,4213,0.3567,-0.0059,0.067,-0.2624,1.1798,0.05,0.05,100.0
AAPL,150.05,AAPL171020C00105000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,105.0,25,151,0.4913,0.9525,0.2869,-2.2021,6.9542,44.5,44.5,-105.0
AAPL,150.05,AAPL171020P00105000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,105.0,112,3180,0.3881,-0.0197,0.1757,-0.8138,3.3643,0.09,0.09,105.0
AAPL,150.05,AAPL171020C00110000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,110.0,6,259,0.5691,0.9033,0.4283,-4.3428,12.0283,38.95,38.95,-109.99999999999999
AAPL,150.05,AAPL171020P00110000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,110.0,27,7214,0.3439,-0.0221,0.2181,-0.7932,3.7008,0.14,0.14,110.0
AAPL,150.05,AAPL171020C00115000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,115.0,177,3088,0.3672,0.9492,0.4052,-1.7581,7.3415,34.23,34.23,-115.0
AAPL,150.05,AAPL171020P00115000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,115.0,12,6779,0.3304,-0.0359,0.3397,-1.1397,5.5376,0.22,0.22,115.0
AAPL,150.05,AAPL171020C00120000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,120.0,14,4733,0.4015,0.9007,0.6188,-3.1481,12.2611,29.98,29.98,-119.99999999999999
AAPL,150.05,AAPL171020P00120000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,120.0,384,9790,0.2938,-0.0448,0.4577,-1.2138,6.6358,0.32,0.32,120.0
AAPL,150.05,AAPL171020C00125000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,125.0,183,4020,0.327,0.8985,0.7721,-2.6211,12.4597,24.6,24.6,-125.0
AAPL,150.05,AAPL171020P00125000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,125.0,289,8162,0.2957,-0.0819,0.7284,-1.9559,10.6293,0.59,0.59,125.0
AAPL,150.05,AAPL171020C00130000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,130.0,59,5167,0.3264,0.8458,1.0356,-3.4756,16.682,20.51,20.51,-130.0
AAPL,150.05,AAPL171020P00130000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,130.0,584,11227,0.2829,-0.1244,1.0323,-2.535,14.4119,0.94,0.94,130.0
AAPL,150.05,AAPL171020C00135000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,135.0,246,7258,0.2918,0.8012,1.3608,-3.6437,19.5926,16.7,16.7,-135.0
AAPL,150.05,AAPL171020P00135000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,135.0,848,12066,0.2748,-0.1867,1.3906,-3.219,18.8584,1.65,1.65,135.0
AAPL,150.05,AAPL171020C00140000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,140.0,552,23109,0.2632,0.7352,1.7707,-3.8505,22.9993,12.44,12.44,-140.0
AAPL,150.05,AAPL171020P00140000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,140.0,1640,13080,0.2446,-0.2522,1.8582,-3.4011,22.4278,2.75,2.75,140.0
AAPL,150.05,AAPL171020C00145000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,145.0,406,29063,0.2329,0.6456,2.2741,-3.8647,26.1356,9.2,9.2,-145.0
AAPL,150.05,AAPL171020P00145000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,145.0,712,11665,0.2436,-0.3587,2.1838,-3.9558,26.2461,4.35,4.35,145.0
AAPL,150.05,AAPL171020C00150000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,150.0,2492,20944,0.2334,0.525,2.4289,-4.1291,27.9689,6.6,6.6,-150.0
AAPL,150.05,AAPL171020P00150000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,150.0,667,7832,0.2542,-0.4733,2.2294,-4.3888,27.9613,6.7,6.7,150.0
AAPL,150.05,AAPL171020C00155000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,155.0,7427,22771,0.2227,0.3997,2.4697,-3.8146,27.1344,4.05,4.05,-155.0
AAPL,150.05,AAPL171020P00155000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,155.0,59,5601,0.2606,-0.5795,2.1362,-4.4066,27.4657,9.39,9.39,155.0
AAPL,150.05,AAPL171020C00160000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,160.0,3511,26876,0.2312,0.2966,2.1302,-3.5395,24.2988,2.6,2.6,-160.0
AAPL,150.05,AAPL171020P00160000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,160.0,23,3522,0.2755,-0.6661,1.8801,-4.3237,25.5598,13.42,13.42,160.0
AAPL,150.05,AAPL171020C00165000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,165.0,2597,21087,0.2186,0.1918,1.777,-2.6386,19.1714,1.55,1.55,-165.0
AAPL,150.05,AAPL171020P00165000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,165.0,6,1058,0.271,-0.752,1.6621,-3.6755,22.226,17.45,17.45,165.0
AAPL,150.05,AAPL171020C00170000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,170.0,591,10952,0.2262,0.1312,1.3399,-2.1271,14.9546,1.0,1.0,-170.0
AAPL,150.05,AAPL171020P00170000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,170.0,3,894,0.2991,-0.7932,1.3594,-3.6537,20.0616,21.8,21.8,170.0
AAPL,150.05,AAPL171020C00175000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,175.0,1053,18558,0.2449,0.1003,1.0227,-1.9008,12.356,0.66,0.66,-175.0
AAPL,150.05,AAPL171020P00175000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,175.0,6,110,0.3095,-0.8378,1.1292,-3.2309,17.2432,26.65,26.65,175.0
AAPL,150.05,AAPL171020C00180000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,180.0,182,2140,0.2853,0.0982,0.8644,-2.1798,12.1695,0.35,0.35,-180.0
AAPL,150.05,AAPL171020P00180000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,180.0,4,149,0.3519,-0.8459,0.9603,-3.5597,16.6763,31.88,31.88,180.0
AAPL,150.05,AAPL171020C00185000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,185.0,116,2116,0.2577,0.0474,0.5457,-1.1223,6.939,0.23,0.23,-185.0
AAPL,150.05,AAPL171020P00185000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,185.0,8,178,0.3834,-0.8586,0.8322,-3.6592,15.7435,36.4,36.4,185.0
AAPL,150.05,AAPL171020C00190000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,190.0,13,3705,0.272,0.037,0.4237,-0.9702,5.6861,0.15,0.15,-190.0
AAPL,150.05,AAPL171020P00190000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,190.0,0,59,0.4954,-0.8158,0.765,-5.6781,18.7014,41.15,41.15,190.0
AAPL,150.05,AAPL171020C00195000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,195.0,1,719,0.2881,0.0307,0.3423,-0.8793,4.866,0.12,0.12,-195.0
AAPL,150.05,AAPL171020P00195000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,195.0,0,23,0.5347,-0.8211,0.696,-6.0195,18.3628,45.8,45.8,195.0
AAPL,150.05,AAPL171020C00200000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,200.0,39,1934,0.3039,0.0259,0.282,-0.8057,4.2286,0.08,0.08,-200.0
AAPL,150.05,AAPL171020P00200000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,200.0,0,462,0.5557,-0.8346,0.637,-5.9448,17.4667,50.4,50.4,200.0
AAPL,150.05,AAPL171020C00205000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,205.0,45,1031,0.3146,0.0206,0.2248,-0.6882,3.4895,0.08,0.08,-205.0
AAPL,150.05,AAPL171020P00205000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,205.0,0,35,0.5863,-0.8408,0.5889,-6.1181,17.0383,53.5,53.5,205.0
AAPL,150.05,AAPL171020C00210000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,210.0,25,740,0.3317,0.0186,0.1954,-0.6648,3.1977,0.06,0.06,-210.0
AAPL,150.05,AAPL171020P00210000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,210.0,0,0,0.6217,-0.8432,0.5499,-6.4247,16.8683,63.0,63.0,210.0
AAPL,150.05,AAPL171020C00215000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,215.0,25,553,0.3366,0.0139,0.1501,-0.5258,2.4926,0.05,0.05,-215.0
AAPL,150.05,AAPL171020P00215000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,215.0,0,67,0.6439,-0.851,0.5132,-6.4296,16.3079,65.25,65.25,215.0
AAPL,150.05,AAPL171020C00220000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,220.0,10828,1340,0.3149,0.0059,0.0757,-0.2321,1.1762,0.03,0.03,-220.0
AAPL,150.05,AAPL171020P00220000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,220.0,0,21,0.6711,-0.8552,0.483,-6.5708,15.9931,70.85,70.85,220.00000000000003
AAPL,150.05,AAPL171020C00225000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,225.0,25,881,0.5333,0.0674,0.348,-3.0595,9.1589,0.04,0.04,-225.0
AAPL,150.05,AAPL171020P00225000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,225.0,0,0,0.6973,-0.8591,0.4564,-6.7035,15.7053,77.9,77.9,224.99999999999997
AAPL,150.05,AAPL171020C00230000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,230.0,26,165,0.4331,0.0226,0.1765,-1.0234,3.7726,0.03,0.03,-230.0
AAPL,150.05,AAPL171020P00230000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,230.0,0,42,0.7194,-0.864,0.4319,-6.7484,15.3324,80.6,80.6,230.00000000000003
AAPL,150.05,AAPL171020C00235000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,235.0,0,102,0.3376,0.0029,0.0377,-0.1329,0.6283,0.03,0.03,-235.0
AAPL,150.05,AAPL171020P00235000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,235.0,0,20,0.7438,-0.8671,0.4111,-6.8658,15.0894,85.85,85.85,235.00000000000003
AAPL,150.05,AAPL171020C00240000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,240.0,0,220,0.3517,0.0028,0.0351,-0.1343,0.6099,0.03,0.03,-240.0
AAPL,150.05,AAPL171020P00240000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,240.0,0,40,0.7674,-0.8699,0.3925,-6.9773,14.8646,88.7,88.7,240.0
AAPL,150.05,AAPL171020C00245000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,245.0,0,0,0.7604,0.1155,0.3645,-6.5116,13.6785,0.03,0.03,-245.0
AAPL,150.05,AAPL171020P00245000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,245.0,0,28,0.7938,-0.8712,0.3769,-7.1688,14.7646,94.85,94.85,245.00000000000003
AAPL,150.05,AAPL171020C00250000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,250.0,0,10,0.5391,0.0291,0.1751,-1.572,4.6575,0.02,0.02,-250.0
AAPL,150.05,AAPL171020P00250000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,250.0,0,24,0.8161,-0.8736,0.3618,-7.2719,14.5703,100.6,100.6,250.00000000000003
AAPL,150.05,AAPL171020C00260000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,260.0,0,400,0.8628,0.1235,0.3368,-7.7445,14.3403,0.02,0.02,-260.0
AAPL,150.05,AAPL171020P00260000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,260.0,0,72,0.8517,-0.8806,0.3332,-7.2873,14.0036,110.85,110.85,260.0
AAPL,150.05,AAPL171020C00270000,call,2017-10-20 00:00:00,2017-08-01 00:00:00,270.0,0,0,0.6039,0.0265,0.1447,-1.6301,4.3123,0.39,0.39,-270.0
AAPL,150.05,AAPL171020P00270000,put,2017-10-20 00:00:00,2017-08-01 00:00:00,270.0,0,267,0.8956,-0.883,0.3123,-7.5523,13.803,120.95,120.95,270.0
AAPL,150.05,AAPL171215C00080000,call,2017-12-15 00:00:00,2017-08-01 00:00:00,80.0,0,0,0.7372,0.9479,0.1578,-2.6937,9.7609,72.91,72.91,-80.0
AAPL,150.05,AAPL171215P00080000,put,2017-12-15 00:00:00,2017-08-01 00:00:00,80.0,0,665,0.3984,-0.0033,0.0277,-0.1352,0.9254,0.04,0.04,80.0
AAPL,150.05,AAPL171215C00085000,call,2017-12-15 00:00:00,2017-08-01 00:00:00,85.0,0,13,0.6673,0.9453,0.1811,-2.5396,10.141,60.0,60.0,-85.0
AAPL,150.05,AAPL171215P00085000,put,2017-12-15 00:00:00,2017-08-01 00:00:00,85.0,0,553,0.7341,-0.0675,0.1942,-3.2201,11.9624,0.06,0.06,85.0
AAPL,150.05,AAPL171215C00090000,call,2017-12-15 00:00:00,2017-08-01 00:00:00,90.0,0,1,0.6291,0.9364,0.2163,-2.6938,11.4135,58.4,58.4,-90.0
AAPL,150.05,AAPL171215P00090000,put,2017-12-15 00:00:00,2017-08-01 00:00:00,90.0,70,3616,0.3808,-0.0102,0.0777,-0.3463,2.4813,0.09,0.09,90.0
AAPL,150.05,AAPL171215C00095000,call,2017-12-15 00:00:00,2017-08-01 00:00:00,95.0,0,4,0.4951,0.9522,0.2194,-1.7178,9.1108,58.8,58.8,-95.00000000000001
AAPL,150.05,AAPL171215P00095000,put,2017-12-15 00:00:00,2017-08-01 00:00:00,95.0,82,1803,0.3641,-0.0149,0.1131,-0.4608,3.4547,0.1,0.1,95.0
AAPL,150.05,AAPL171215C00100000,call,2017-12-15 00:00:00,2017-08-01 00:00:00,100.0,4,112,0.4268,0.9546,0.2441,-1.4347,8.74,50.1,50.1,-100.0
AAPL,150.05,AAPL171215P00100000,put,2017-12-15 00:00:00,2017-08-01 00:00:00,100.0,6,2221,0.3355,-0.0184,0.1466,-0.507,4.1269,0.16,0.16,100.0
AAPL,150.05,AAPL171215C00105000,call,2017-12-15 00:00:00,2017-08-01 00:00:00,105.0,0,2,0.3939,0.9462,0.3031,-1.516,10.0143,48.41,48.41,-105.0
AAPL,150.05,AAPL171215P00105000,put,2017-12-15 00:00:00,2017-08-01 00:00:00,105.0,0,2140,0.3283,-0.0296,0.2239,-0.7406,6.1641,0.27,0.27,105.0
AAPL,150.05,AAPL171215C00110000,call,2017-12-15 00:00:00,2017-08-01 00:00:00,110.0,1,118,0.3319,0.9493,0.3429,-1.2346,9.5467,39.3,39.3,-110.00000000000001
AAPL,150.05,AAPL171215P00110000,put,2017-12-15 00:00:00,2017-08-01 00:00:00,110.0,322,1213,0.3106,-0.0412,0.3101,-0.9183,8.0804,0.36,0.36,110.0
AAPL,150.05,AAPL171215C00115000,call,2017-12-15 00:00:00,2017-08-01 00:00:00,115.0,0,83,0.3587,0.9081,0.5022,-2.0607,15.1101,34.1,34.1,-115.0
AAPL,150.05,AAPL171215P00115000,put,2017-12-15 00:00:00,2017-08-01 00:00:00,115.0,10,1837,0.3033,-0.0625,0.4425,-1.2487,11.2591,0.58,0.58,115.0
AAPL,150.05,AAPL171215C00120000,call,2017-12-15 00:00:00,2017-08-01 00:00:00,120.0,40,2325,0.3595,0.8713,0.6381,-2.6103,19.2425,29.8,29.8,-120.00000000000001
AAPL,150.05,AAPL171215P00120000,put,2017-12-15 00:00:00,2017-08-01 00:00:00,120.0,33,3296,0.2761,-0.0784,0.5791,-1.3532,13.4147,0.85,0.85,120.0
AAPL,150.05,AAPL171215C00125000,call,2017-12-15 00:00:00,2017-08-01 00:00:00,125.0,1,511,0.2799,0.877,0.7941,-1.9908,18.6471,25.04,25.04,-125.0
AAPL,150.05,AAPL171215P00125000,put,2017-12-15 00:00:00,2017-08-01 00:00:00,125.0,41,4390,0.2829,-0.1252,0.7953,-1.9492,18.8744,1.4,1.4,125.0
AAPL,150.05,AAPL171215C00130000,call,2017-12-15 00:00:00,2017-08-01 00:00:00,130.0,2,1213,0.2751,0.8273,1.0143,-2.4379,23.4119,21.5,21.5,-130.0
AAPL,150.05,AAPL171215P00130000,put,2017-12-15 00:00:00,2017-08-01 00:00:00,130.0,134,3748,0.2739,-0.1718,1.0155,-2.3306,23.3345,2.14,2.14,130.0
AAPL,150.05,AAPL171215C00135000,call,2017-12-15 00:00:00,2017-08-01 00:00:00,135.0,101,2069,0.2671,0.769,1.2442,-2.8046,27.8813,17.55,17.55,-135.0
AAPL,150.05,AAPL171215P00135000,put,2017-12-15 00:00:00,2017-08-01 00:00:00,135.0,24,9333,0.2681,-0.2316,1.2417,-2.7256,27.9217,3.05,3.05,135.0
AAPL,150.05,AAPL171215C00140000,call,2017-12-15 00:00:00,2017-08-01 00:00:00,140.0,216,4118,0.2524,0.703,1.4969,-3.0044,31.701,14.1,14.1,-140.0
AAPL,150.05,AAPL171215P00140000,put,2017-12-15 00:00:00,2017-08-01 00:00:00,140.0,325,10482,0.266,-0.3036,1.4352,-3.096,32.0184,4.45,4.45,140.0
AAPL,150.05,AAPL171215C00145000,call,2017-12-15 00:00:00,2017-08-01 00:00:00,145.0,40,5084,0.2486,0.6208,1.6709,-3.2417,34.851,10.8,10.8,-145.0
AAPL,150.05,AAPL171215P00145000,put,2017-12-15 00:00:00,2017-08-01 00:00:00,145.0,148,3386,0.2582,-0.3814,1.6115,-3.2708,34.9114,6.35,6.35,145.0
AAPL,150.05,AAPL171215C00150000,call,2017-12-15 00:00:00,2017-08-01 00:00:00,150.0,1102,9128,0.2331,0.5319,1.8626,-3.1703,36.4224,8.25,8.25,-150.0
AAPL,150.05,AAPL171215P00150000,put,2017-12-15 00:00:00,2017-08-01 00:00:00,150.0,531,4085,0.2452,-0.4668,1.7704,-3.2282,36.4128,8.76,8.76,150.0
AAPL,150.05,AAPL171215C00155000,call,2017-12-15 00:00:00,2017-08-01 00:00:00,155.0,482,5225,0.2233,0.4352,1.925,-3.0004,36.056,5.85,5.85,-155.0
AAPL,150.05,AAPL171215P00155000,put,2017-12-15 00:00:00,2017-08-01 00:00:00,155.0,44,2347,0.2604,-0.5473,1.6607,-3.4095,36.2822,12.0,12.0,155.0
