Symbol,UnderlyingPrice,OptionSymbol,Type,Expiration,DataDate,DaysLeft,Strike,Volume,OpenInterest,IV,Delta,Gamma,Theta,Vega,PurchasePrice,ExpirationPrice,Profit
ATVI,59.56,ATVI170616C00040000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,40.0,0,6,1.1848,0.9623,0.5739,-3.9406,0.9908,16.49,20.53,4.04
ATVI,59.56,ATVI170616P00040000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,40.0,0,15,1.1789,-0.0371,0.5689,-3.8405,0.9773,0.02,0.02,0.0
ATVI,59.56,ATVI170616C00041000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,41.0,0,0,2.0869,0.8631,0.8699,-18.4325,2.6456,20.7,17.35,-2.9
ATVI,59.56,ATVI170616P00041000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,41.0,0,0,1.0164,-0.0277,0.5186,-2.6023,0.7681,0.14,0.0,-0.14
ATVI,59.56,ATVI170616C00042000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,42.0,1,5,1.1461,0.9474,0.7759,-4.9792,1.2959,17.18,17.7,0.52
ATVI,59.56,ATVI170616P00042000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,42.0,0,55,1.075,-0.0434,0.7092,-3.9809,1.111,0.01,0.01,0.0
ATVI,59.56,ATVI170616C00042500,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,42.5,0,0,1.9647,0.8524,0.9725,-18.2621,2.7842,19.25,15.85,-2.95
ATVI,59.56,ATVI170616P00042500,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,42.5,0,0,1.0946,-0.0513,0.7964,-4.635,1.2704,0.31,0.0,-0.31
ATVI,59.56,ATVI170616C00043000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,43.0,0,3,1.0021,0.956,0.7695,-3.7827,1.1237,15.48,15.48,0.32
ATVI,59.56,ATVI170616P00043000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,43.0,0,193,0.7645,-0.0146,0.401,-1.1381,0.4467,0.05,0.29,0.24
ATVI,59.56,ATVI170616C00043500,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,43.5,0,0,1.9073,0.8429,1.0442,-18.4804,2.9023,18.35,14.85,-3.05
ATVI,59.56,ATVI170616P00043500,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,43.5,0,0,0.889,-0.0333,0.6909,-2.652,0.8951,0.15,0.0,-0.15
ATVI,59.56,ATVI170616C00044000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,44.0,0,2,1.1745,0.9179,1.0688,-7.1912,1.8293,9.88,14.35,4.92
ATVI,59.56,ATVI170616P00044000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,44.0,0,20,0.7549,-0.0199,0.5287,-1.4635,0.5817,0.07,0.01,-0.06
ATVI,59.56,ATVI170616C00044500,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,44.5,0,0,1.7821,0.8384,1.1384,-17.5914,2.9563,17.25,13.85,-2.95
ATVI,59.56,ATVI170616P00044500,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,44.5,0,0,0.824,-0.0337,0.7523,-2.4805,0.9033,0.14,0.0,-0.14
ATVI,59.56,ATVI170616C00045000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,45.0,0,13,0.8858,0.9507,0.9536,-3.6645,1.2309,13.5,15.72,2.22
ATVI,59.56,ATVI170616P00045000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,45.0,0,39,0.6226,-0.0111,0.3897,-0.7334,0.3535,0.01,0.01,0.0
ATVI,59.56,ATVI170616C00045500,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,45.5,0,0,1.7256,0.8277,1.2253,-17.7528,3.0812,16.35,12.9,-3.05
ATVI,59.56,ATVI170616P00045500,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,45.5,0,0,0.8911,-0.0569,1.0615,-4.0935,1.3784,0.28,0.0,-0.28
ATVI,59.56,ATVI170616C00046000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,46.0,0,9,1.1572,0.8886,1.3582,-8.8645,2.2903,12.35,12.35,0.45
ATVI,59.56,ATVI170616P00046000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,46.0,0,57,0.5798,-0.012,0.4454,-0.7273,0.3764,0.02,0.09,0.07
ATVI,59.56,ATVI170616C00046500,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,46.5,0,0,1.6523,0.8178,1.3257,-17.6117,3.1922,15.4,11.75,-3.1
ATVI,59.56,ATVI170616P00046500,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,46.5,0,0,0.7967,-0.0532,1.1271,-3.4741,1.3086,0.23,0.0,-0.23
ATVI,59.56,ATVI170616C00047000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,47.0,0,8,1.0866,0.8822,1.5054,-8.6643,2.3837,11.81,12.0,0.19
ATVI,59.56,ATVI170616P00047000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,47.0,0,48,0.56,-0.016,0.5922,-0.9018,0.4833,0.02,0.02,0.0
ATVI,59.56,ATVI170616C00047500,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,47.5,0,0,1.5639,0.8086,1.4441,-17.1866,3.291,14.4,10.85,-3.1
ATVI,59.56,ATVI170616P00047500,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,47.5,0,0,0.5566,-0.0196,0.707,-1.0634,0.5734,0.05,0.0,-0.05
ATVI,59.56,ATVI170616C00048000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,48.0,0,23,0.9323,0.892,1.6494,-6.9949,2.2409,10.21,12.1,1.89
ATVI,59.56,ATVI170616P00048000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,48.0,0,332,0.5501,-0.0232,0.826,-1.2135,0.6621,0.06,0.03,-0.03
