Symbol,UnderlyingPrice,OptionSymbol,Type,Expiration,DataDate,DaysLeft,Strike,Volume,OpenInterest,IV,Delta,Gamma,Theta,Vega,PurchasePrice,ExpirationPrice,Profit
CME,117.82,CME170616C00055000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,55.0,0,290,2.9247,0.9431,0.1635,-26.6271,2.7269,65.0,68.8,6.18
CME,117.82,CME170616P00055000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,55.0,0,20,1.5083,-0.0041,0.0335,-1.4488,0.2881,0.05,0.05,0.0
CME,117.82,CME170616C00060000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,60.0,0,2,2.6418,0.9368,0.1967,-26.1414,2.9635,60.0,64.58,6.18
CME,117.82,CME170616P00060000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,60.0,0,0,1.3481,-0.0046,0.0415,-1.4325,0.3188,0.05,0.0,-0.05
CME,117.82,CME170616C00065000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,65.0,0,108,2.3502,0.9315,0.2353,-24.7524,3.1535,54.9,58.8,6.28
CME,117.82,CME170616P00065000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,65.0,0,1000,1.2001,-0.0051,0.0516,-1.4122,0.353,0.05,0.1,0.05
CME,117.82,CME170616C00070000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,70.0,0,0,2.1402,0.9218,0.2859,-24.9387,3.4887,50.0,53.7,6.18
CME,117.82,CME170616P00070000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,70.0,0,1,1.0624,-0.0058,0.0647,-1.3881,0.3919,0.05,0.05,0.0
CME,117.82,CME170616C00075000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,75.0,0,0,1.8604,0.9172,0.3433,-22.6406,3.6425,44.8,48.9,6.38
CME,117.82,CME170616P00075000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,75.0,0,23,0.9335,-0.0065,0.0821,-1.3605,0.4372,0.05,0.1,0.05
CME,117.82,CME170616C00080000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,80.0,0,0,1.6765,0.9048,0.4228,-22.6405,4.0417,39.9,44.3,6.28
CME,117.82,CME170616P00080000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,80.0,0,46,0.8122,-0.0075,0.1062,-1.3309,0.4917,0.05,0.05,0.0
CME,117.82,CME170616C00085000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,85.0,0,0,1.4982,0.8902,0.525,-22.4559,4.4853,35.0,38.9,6.18
CME,117.82,CME170616P00085000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,85.0,0,100,0.6973,-0.0086,0.1405,-1.2989,0.5589,0.05,0.08,0.03
CME,117.82,CME170616C00090000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,90.0,0,0,1.3037,0.8753,0.6601,-21.3829,4.9071,28.29,33.9,7.89
CME,117.82,CME170616P00090000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,90.0,0,156,0.5877,-0.0101,0.1919,-1.2595,0.6432,0.05,0.05,0.0
CME,117.82,CME170616C00092500,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,92.5,0,0,1.1893,0.8696,0.7463,-20.1253,5.0615,27.4,31.4,6.28
CME,117.82,CME170616P00092500,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,92.5,0,88,0.5344,-0.011,0.2278,-1.2361,0.6941,0.02,0.02,0.0
CME,117.82,CME170616C00095000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,95.0,0,0,1.1155,0.8567,0.8488,-20.1349,5.399,23.27,28.8,7.91
CME,117.82,CME170616P00095000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,95.0,0,240,0.4824,-0.0122,0.2744,-1.2129,0.7547,0.05,0.2,0.15
CME,117.82,CME170616C00097500,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,97.5,0,0,1.0053,0.8488,0.9762,-18.8133,5.5963,22.4,26.3,6.28
CME,117.82,CME170616P00097500,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,97.5,0,0,0.4311,-0.0135,0.3359,-1.1857,0.8257,0.05,0.07,0.02
CME,117.82,CME170616C00100000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,100.0,0,1,0.9144,0.836,1.1324,-18.0606,5.9051,16.04,26.49,10.45
CME,117.82,CME170616P00100000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,100.0,0,426,0.3805,-0.0151,0.4203,-1.156,0.912,0.05,0.32,0.27
CME,117.82,CME170616C00101000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,101.0,0,0,0.8946,0.8266,1.1997,-18.3125,6.1203,19.0,23.0,6.18
CME,117.82,CME170616P00101000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,101.0,0,0,0.3603,-0.0159,0.4624,-1.1401,0.95,0.05,0.0,-0.05
CME,117.82,CME170616C00102000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,102.0,0,0,0.8739,0.8168,1.2714,-18.519,6.3361,18.1,21.9,6.08
CME,117.82,CME170616P00102000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,102.0,0,0,0.3801,-0.028,0.7075,-1.9417,1.5336,0.1,0.0,-0.1
CME,117.82,CME170616C00103000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,103.0,0,0,0.837,0.81,1.3577,-18.1428,6.4806,17.1,20.9,6.08
CME,117.82,CME170616P00103000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,103.0,1,20,0.3584,-0.0295,0.7838,-1.9119,1.6018,0.05,0.05,0.0
CME,117.82,CME170616C00104000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,104.0,0,0,0.7695,0.8102,1.4758,-16.6729,6.4761,15.9,20.2,6.28
CME,117.82,CME170616P00104000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,104.0,0,0,0.3006,-0.0188,0.6389,-1.0962,1.0951,0.05,0.0,-0.05
CME,117.82,CME170616C00105000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,105.0,0,11,0.6049,0.8418,1.6722,-11.6922,5.7678,13.0,19.0,8.18
CME,117.82,CME170616P00105000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,105.0,0,754,0.2808,-0.02,0.7208,-1.0789,1.1541,0.05,0.05,0.0
CME,117.82,CME170616C00106000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,106.0,0,0,0.7113,0.7899,1.6971,-16.3842,6.8842,14.0,18.2,6.18
CME,117.82,CME170616P00106000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,106.0,0,0,0.2935,-0.0353,1.1093,-1.8148,1.8569,0.1,0.0,-0.1
CME,117.82,CME170616C00107000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,107.0,0,0,0.5862,0.8081,1.9502,-12.7993,6.5189,12.4,17.2,6.78
CME,117.82,CME170616P00107000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,107.0,0,0,0.2719,-0.0377,1.266,-1.7766,1.9629,0.1,0.0,-0.1
CME,117.82,CME170616C00108000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,108.0,0,0,0.6508,0.7662,1.9715,-15.9341,7.3171,12.1,16.9,6.08
CME,117.82,CME170616P00108000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,108.0,0,0,0.2502,-0.0406,1.461,-1.7364,2.0848,0.1,0.0,-0.1
CME,117.82,CME170616C00109000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,109.0,0,0,0.6129,0.7547,2.1493,-15.4077,7.5123,11.1,15.9,6.08
CME,117.82,CME170616P00109000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,109.0,0,5,0.2484,-0.0579,1.953,-2.2873,2.7668,0.15,0.2,0.05
CME,117.82,CME170616C00110000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,110.0,0,492,0.2597,0.9088,2.6456,-3.4604,3.9177,6.7,16.32,9.62
CME,117.82,CME170616P00110000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,110.0,0,1212,0.2409,-0.076,2.484,-2.736,3.413,0.2,0.03,-0.17
CME,117.82,CME170616C00111000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,111.0,0,0,0.5358,0.7272,2.5975,-14.2338,7.9368,9.1,14.0,6.08
CME,117.82,CME170616P00111000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,111.0,0,0,0.2294,-0.0954,3.0958,-3.089,4.049,0.25,0.1,-0.15
CME,117.82,CME170616C00112000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,112.0,0,0,0.5086,0.7068,2.8329,-13.9873,8.2165,5.4,12.8,8.78
CME,117.82,CME170616P00112000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,112.0,0,1,0.225,-0.128,3.8949,-3.738,4.9967,0.35,0.2,-0.15
CME,117.82,CME170616C00113000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,113.0,0,0,0.218,0.834,4.7886,-4.3897,5.9519,5.3,11.9,7.88
CME,117.82,CME170616P00113000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,113.0,0,4,0.2149,-0.1627,4.7947,-4.1958,5.8747,0.45,0.3,-0.15
CME,117.82,CME170616C00114000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,114.0,0,0,0.1539,0.859,6.0875,-2.8074,5.3416,4.1,10.1,8.08
CME,117.82,CME170616P00114000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,114.0,0,3,0.2147,-0.2172,5.7337,-5.0067,7.019,0.65,0.03,-0.62
CME,117.82,CME170616C00115000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,115.0,2,508,0.1415,0.8058,8.1383,-3.1615,6.5668,2.9,11.0,8.28
CME,117.82,CME170616P00115000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,115.0,0,910,0.2131,-0.2794,6.6062,-5.684,8.0295,0.9,0.02,-0.88
CME,117.82,CME170616C00116000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,116.0,0,0,0.1355,0.7205,10.3934,-3.6862,8.0319,2.4,8.7,7.78
CME,117.82,CME170616P00116000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,116.0,0,228,0.1984,-0.341,7.7419,-5.7674,8.7595,1.05,0.05,-1.0
CME,117.82,CME170616C00117000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,117.0,10,5,0.1361,0.6067,11.8361,-4.2148,9.1838,1.25,8.7,7.93
CME,117.82,CME170616P00117000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,117.0,25,49,0.2041,-0.4239,8.0345,-6.3314,9.3527,1.55,0.05,-1.5
