Symbol,UnderlyingPrice,OptionSymbol,Type,Expiration,DataData,Strike,Volume,OpenInterest,IV,Delta,Gamma,Theta,Vega,PurchasePrice,ExpirationPrice,Profit
NAVI,14.63,NAVI170616C00002500,call,2017-06-16 00:00:00,2017-06-01 00:00:00,2.5,0,0,6.3995,0.9778,0.2785,-3.3449,0.1567,12.4,12.8,0.625
NAVI,14.63,NAVI170616P00002500,put,2017-06-16 00:00:00,2017-06-01 00:00:00,2.5,0,0,4.4861,-0.0082,0.1692,-0.9984,0.0667,0.05,0.0,-0.05
NAVI,14.63,NAVI170616C00005000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,5.0,0,0,3.9482,0.9592,0.7474,-3.419,0.2595,9.9,10.3,0.625
NAVI,14.63,NAVI170616P00005000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,5.0,0,0,2.7725,-0.0142,0.4394,-0.9901,0.1071,0.05,0.0,-0.05
NAVI,14.63,NAVI170616C00007500,call,2017-06-16 00:00:00,2017-06-01 00:00:00,7.5,0,0,2.6184,0.9363,1.6073,-3.2353,0.37,7.4,7.8,0.625
NAVI,14.63,NAVI170616P00007500,put,2017-06-16 00:00:00,2017-06-01 00:00:00,7.5,0,0,1.8021,-0.0221,0.9858,-0.9384,0.1562,0.05,0.0,-0.05
NAVI,14.63,NAVI170616C00010000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,10.0,0,0,1.1826,0.9562,2.6469,-1.0917,0.2752,4.7,5.4,0.8250000000000011
NAVI,14.63,NAVI170616P00010000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,10.0,0,0,1.1078,-0.0354,2.3718,-0.853,0.231,0.05,0.0,-0.05
NAVI,14.63,NAVI170616C00012500,call,2017-06-16 00:00:00,2017-06-01 00:00:00,12.5,0,12,0.6825,0.8864,9.5103,-1.306,0.5707,1.85,2.85,1.1750000000000007
NAVI,14.63,NAVI170616P00012500,put,2017-06-16 00:00:00,2017-06-01 00:00:00,12.5,0,471,0.6485,-0.1032,9.3374,-1.1503,0.5324,0.1,0.1,0.0
NAVI,14.63,NAVI170616C00015000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15.0,0,159,0.3407,0.3723,37.4543,-1.2779,1.1218,0.22,0.5,0.3049999999999997
NAVI,14.63,NAVI170616P00015000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15.0,0,63,0.3687,-0.6162,34.9326,-1.3856,1.1324,0.65,0.05,-0.6
NAVI,14.63,NAVI170616C00017500,call,2017-06-16 00:00:00,2017-06-01 00:00:00,17.5,0,43,0.5745,0.0695,7.8414,-0.7595,0.3961,0.01,0.01,0.0
NAVI,14.63,NAVI170616P00017500,put,2017-06-16 00:00:00,2017-06-01 00:00:00,17.5,0,0,0.7331,-0.8709,9.6858,-1.5154,0.6243,3.0,1.9,-1.0250000000000004
NAVI,14.63,NAVI170616C00020000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,20.0,0,0,0.8839,0.0489,3.8688,-0.8866,0.3007,0.05,0.0,-0.05
NAVI,14.63,NAVI170616P00020000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,20.0,0,0,1.0872,-0.9046,5.2589,-1.8097,0.5027,5.5,4.4,-1.0250000000000004
NAVI,14.63,NAVI170616C00022500,call,2017-06-16 00:00:00,2017-06-01 00:00:00,22.5,0,0,1.1368,0.0398,2.5481,-0.9658,0.2547,0.05,0.0,-0.05
NAVI,14.63,NAVI170616P00022500,put,2017-06-16 00:00:00,2017-06-01 00:00:00,22.5,0,0,1.7277,-0.854,4.4691,-3.897,0.6789,8.2,6.8,-1.2249999999999996
NAVI,14.63,NAVI170616C00025000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,25.0,0,0,1.3535,0.0347,1.9123,-1.0274,0.2276,0.05,0.0,-0.05
NAVI,14.63,NAVI170616P00025000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,25.0,0,0,2.0004,-0.8683,3.598,-4.2055,0.6328,10.7,9.2,-1.2249999999999996
NAVI,14.63,NAVI170616C00030000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,30.0,0,0,1.709,0.0287,1.2954,-1.1096,0.1947,0.05,0.0,-0.05
NAVI,14.63,NAVI170616P00030000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,30.0,0,0,2.4433,-0.8854,2.6728,-4.6588,0.5742,15.7,14.2,-1.2249999999999996
NAVI,14.22,NAVI170616C00002500,call,2017-06-16 00:00:00,2017-06-02 00:00:00,2.5,0,0,6.6284,0.9766,0.2994,-3.6449,0.1539,12.0,12.8,1.0250000000000004
NAVI,14.22,NAVI170616P00002500,put,2017-06-16 00:00:00,2017-06-02 00:00:00,2.5,0,0,5.6793,-0.017,0.267,-2.3856,0.1176,0.15,0.0,-0.15
NAVI,14.22,NAVI170616C00005000,call,2017-06-16 00:00:00,2017-06-02 00:00:00,5.0,0,0,4.4243,0.9495,0.8442,-4.5801,0.2896,9.6,10.3,0.9250000000000007
NAVI,14.22,NAVI170616P00005000,put,2017-06-16 00:00:00,2017-06-02 00:00:00,5.0,0,0,2.8122,-0.0149,0.4799,-1.0511,0.1046,0.05,0.0,-0.05
NAVI,14.22,NAVI170616C00007500,call,2017-06-16 00:00:00,2017-06-02 00:00:00,7.5,0,0,2.6634,0.9316,1.779,-3.5,0.3673,7.0,7.8,1.0250000000000004
NAVI,14.22,NAVI170616P00007500,put,2017-06-16 00:00:00,2017-06-02 00:00:00,7.5,0,0,1.8044,-0.0234,1.1014,-0.993,0.1541,0.05,0.0,-0.05
NAVI,14.22,NAVI170616C00010000,call,2017-06-16 00:00:00,2017-06-02 00:00:00,10.0,0,0,1.4629,0.9151,3.818,-2.2693,0.433,4.4,5.4,1.125
NAVI,14.22,NAVI170616P00010000,put,2017-06-16 00:00:00,2017-06-02 00:00:00,10.0,0,0,1.0803,-0.0383,2.7663,-0.8939,0.2317,0.05,0.0,-0.05
NAVI,14.22,NAVI170616C00012500,call,2017-06-16 00:00:00,2017-06-02 00:00:00,12.5,0,12,0.6359,0.864,12.3254,-1.3877,0.6076,1.85,2.85,1.1750000000000007
NAVI,14.22,NAVI170616P00012500,put,2017-06-16 00:00:00,2017-06-02 00:00:00,12.5,0,471,0.5863,-0.1188,12.1642,-1.1571,0.5529,0.1,0.1,0.0
NAVI,14.22,NAVI170616C00015000,call,2017-06-16 00:00:00,2017-06-02 00:00:00,15.0,0,159,0.3788,0.2478,29.9844,-1.1941,0.8806,0.15,0.5,0.375
NAVI,14.22,NAVI170616P00015000,put,2017-06-16 00:00:00,2017-06-02 00:00:00,15.0,10,63,0.4566,-0.7093,26.9517,-1.549,0.9541,0.65,0.05,-0.6
NAVI,14.22,NAVI170616C00017500,call,2017-06-16 00:00:00,2017-06-02 00:00:00,17.5,0,43,0.6699,0.0647,6.7778,-0.843,0.352,0.01,0.01,0.0
