Symbol,UnderlyingPrice,OptionSymbol,Type,Expiration,DataDate,DaysLeft,Strike,Volume,OpenInterest,IV,Delta,Gamma,Theta,Vega,PurchasePrice,ExpirationPrice,Profit
PSTG,13.24,PSTG170616C00002500,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,2.5,0,0,6.1264,0.9752,0.3531,-3.1838,0.1558,11.0,10.5,-0.25
PSTG,13.24,PSTG170616P00002500,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,2.5,0,0,4.8965,-0.0148,0.2845,-1.6381,0.1003,0.1,0.0,-0.1
PSTG,13.24,PSTG170616C00005000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,5.0,0,0,3.6774,0.9535,0.9869,-3.2076,0.2613,8.5,8.0,-0.25
PSTG,13.24,PSTG170616P00005000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,5.0,0,0,2.5757,-0.0167,0.6016,-0.9582,0.1116,0.05,0.0,-0.05
PSTG,13.24,PSTG170616C00007500,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,7.5,0,74,2.0466,0.9427,2.0922,-2.1089,0.3083,4.6,5.7,1.15
PSTG,13.24,PSTG170616P00007500,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,7.5,0,414,1.5923,-0.0273,1.4702,-0.8948,0.1686,0.01,0.01,0.0
PSTG,13.24,PSTG170616C00010000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,10.0,12,1339,0.9102,0.9468,4.4391,-0.8894,0.291,3.2,3.23,0.05
PSTG,13.24,PSTG170616P00010000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,10.0,0,27145,0.8781,-0.0478,4.2229,-0.7815,0.267,0.01,0.02,0.01
PSTG,13.24,PSTG170616C00012500,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,12.5,256,7391,0.4154,0.7662,27.4879,-1.1455,0.8223,0.9,0.75,-0.15
PSTG,13.24,PSTG170616P00012500,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,12.5,29,1401,0.4642,-0.2548,25.7661,-1.3311,0.8614,0.2,0.02,-0.18
PSTG,13.24,PSTG170616C00015000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,15.0,0,170,0.544,0.141,15.3196,-1.0898,0.6001,0.1,0.01,-0.09
PSTG,13.24,PSTG170616P00015000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,15.0,0,4,0.8024,-0.7535,14.648,-2.2566,0.8464,2.05,1.85,-0.2
PSTG,13.24,PSTG170616C00017500,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,17.5,0,0,0.8247,0.0565,5.136,-0.8394,0.305,0.05,0.0,-0.05
PSTG,13.24,PSTG170616P00017500,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,17.5,0,0,1.0464,-0.8866,6.8425,-1.788,0.5156,4.4,3.9,-0.15
PSTG,13.24,PSTG170616C00020000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,20.0,0,0,1.1192,0.0441,3.1075,-0.9351,0.2505,0.05,0.0,-0.05
PSTG,13.24,PSTG170616P00020000,put,2017-06-16 00:00:00,2017-06-01 00:00:00,15,20.0,0,0,1.5812,-0.87,4.9847,-2.98,0.5676,7.0,7.04,0.04
PSTG,13.24,PSTG170616C00002500,call,2017-06-16 00:00:00,2017-06-02 00:00:00,14,2.5,0,0,6.3416,0.9752,0.3531,-3.4114,0.1505,11.0,10.5,-0.25
PSTG,13.24,PSTG170616P00002500,put,2017-06-16 00:00:00,2017-06-02 00:00:00,14,2.5,0,0,5.069,-0.0148,0.2846,-1.7558,0.097,0.1,0.0,-0.1
PSTG,13.24,PSTG170616C00005000,call,2017-06-16 00:00:00,2017-06-02 00:00:00,14,5.0,0,0,3.8071,0.9534,0.987,-3.4381,0.2525,8.5,8.0,-0.25
PSTG,13.24,PSTG170616P00005000,put,2017-06-16 00:00:00,2017-06-02 00:00:00,14,5.0,0,0,2.6672,-0.0168,0.6022,-1.0286,0.108,0.05,0.0,-0.05
PSTG,13.24,PSTG170616C00007500,call,2017-06-16 00:00:00,2017-06-02 00:00:00,14,7.5,4,74,2.4178,0.9247,2.2652,-3.184,0.3681,5.7,5.7,0.05
PSTG,13.24,PSTG170616P00007500,put,2017-06-16 00:00:00,2017-06-02 00:00:00,14,7.5,0,414,1.648,-0.0272,1.4699,-0.9583,0.1628,0.01,0.01,0.0
PSTG,13.24,PSTG170616C00010000,call,2017-06-16 00:00:00,2017-06-02 00:00:00,14,10.0,3,1339,1.2146,0.9031,5.4465,-1.9353,0.4446,3.3,3.23,-0.05
