Symbol,UnderlyingPrice,OptionSymbol,Type,Expiration,DataDate,DaysLeft,Strike,Volume,OpenInterest,IV,Delta,Gamma,Theta,Vega,PurchasePrice,ExpirationPrice,Profit
BAC,22.63,BAC170616C00002000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,2.0,0,0,7.28,0.9914,0.07,-2.6038,0.1072,20.8,21.75,0.95
BAC,22.63,BAC170623P00019000,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,19.0,0,0,0.3723,-0.025,2.8236,-0.2742,0.3244,0.02,0.0,-0.02
BAC,22.63,BAC170623C00019500,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,19.5,0,0,0.4135,0.9356,5.4809,-0.6698,0.6994,3.2,3.25,0.12
BAC,22.63,BAC170623P00019500,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,19.5,0,105,0.325,-0.0282,3.5818,-0.265,0.3592,0.02,0.02,0.0
BAC,22.63,BAC170623C00020000,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,20.0,0,22,0.37,0.9203,7.2107,-0.705,0.8234,2.27,2.76,0.55
BAC,22.63,BAC170623P00020000,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,20.0,0,179,0.2998,-0.043,5.4812,-0.345,0.5072,0.03,0.01,-0.02
BAC,22.63,BAC170623C00020500,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,20.5,0,0,0.3431,0.8883,9.9743,-0.8361,1.0561,2.24,2.26,0.08
BAC,22.63,BAC170623P00020500,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,20.5,0,242,0.2806,-0.0705,8.6643,-0.4774,0.7502,0.05,0.01,-0.04
BAC,22.63,BAC170623C00021000,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,21.0,4,29,0.2979,0.8556,13.7329,-0.8672,1.2626,1.65,1.79,0.17
BAC,22.63,BAC170623P00021000,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,21.0,20,493,0.267,-0.1199,13.4773,-0.6723,1.1106,0.09,0.01,-0.08
BAC,22.63,BAC170623C00021500,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,21.5,5,80,0.272,0.789,19.1295,-1.0041,1.6056,1.23,1.29,0.09
BAC,22.63,BAC170623P00021500,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,21.5,6,360,0.255,-0.1971,19.59,-0.8906,1.5416,0.16,0.02,-0.14
BAC,22.63,BAC170623C00022000,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,22.0,305,725,0.255,0.6861,25.04,-1.1524,1.9705,0.87,0.79,-0.05
BAC,22.63,BAC170623P00022000,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,22.0,232,1393,0.2414,-0.3055,26.142,-1.0636,1.9472,0.27,0.01,-0.26
BAC,22.63,BAC170623C00022500,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,22.5,283,511,0.2493,0.5506,28.5759,-1.2539,2.1983,0.54,0.29,-0.22
BAC,22.63,BAC170623P00022500,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,22.5,212,3138,0.2326,-0.4475,30.6068,-1.1545,2.1969,0.45,0.01,-0.44
BAC,22.63,BAC170623C00023000,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,23.0,295,3121,0.2341,0.401,29.7239,-1.149,2.1475,0.33,0.01,-0.32
BAC,22.63,BAC170623P00023000,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,23.0,5,2687,0.2311,-0.6006,30.0855,-1.1172,2.1453,0.72,0.2,-0.52
BAC,22.63,BAC170623C00023500,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,23.5,141,4371,0.226,0.258,25.7321,-0.9261,1.7948,0.18,0.01,-0.17
BAC,22.63,BAC170623P00023500,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,23.5,11,2865,0.2281,-0.7399,25.6025,-0.9225,1.8023,1.06,0.71,-0.35
BAC,22.63,BAC170623C00024000,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,24.0,223,6982,0.2287,0.1548,18.737,-0.6898,1.3223,0.09,0.0,-0.09
BAC,22.63,BAC170623P00024000,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,24.0,116,227,0.2314,-0.8423,18.7538,-0.6902,1.3389,1.47,1.22,-0.25
BAC,22.63,BAC170623C00024500,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,24.5,250,3926,0.2428,0.0968,12.709,-0.5271,0.9522,0.05,0.01,-0.04
BAC,22.63,BAC170623P00024500,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,24.5,0,1866,0.3425,-0.8161,13.9788,-1.1361,1.4773,2.05,1.71,-0.34
BAC,22.63,BAC170623C00025000,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,25.0,3956,6684,0.2464,0.0533,7.9257,-0.3385,0.6027,0.01,0.01,0.0
BAC,22.63,BAC170623P00025000,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,25.0,0,48,0.3654,-0.8563,11.16,-1.0301,1.2582,2.51,2.19,-0.32
BAC,22.63,BAC170623C00019000,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,19.0,1,13,0.4696,0.9425,4.4195,-0.6958,0.6404,3.45,3.75,0.37
BAC,22.63,BAC170623P00018500,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,18.5,0,0,0.4738,-0.0366,3.0429,-0.4786,0.4449,0.04,0.0,-0.04
BAC,22.63,BAC170623C00018500,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,18.5,0,0,0.5264,0.9479,3.6424,-0.72,0.5917,4.05,4.2,0.27
BAC,22.63,BAC170623P00018000,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,18.0,0,0,0.5005,-0.0271,2.2463,-0.3943,0.3469,0.03,0.0,-0.03
BAC,22.63,BAC171215C00035000,call,2017-12-15 00:00:00,2017-06-01 00:00:00,197,35.0,0,303,0.2728,0.0193,1.034,-0.0542,0.7795,0.03,0.01,-0.02
BAC,22.63,BAC171215P00034000,put,2017-12-15 00:00:00,2017-06-01 00:00:00,197,34.0,0,0,0.3277,-0.9412,2.1519,-0.1397,1.9489,10.03,10.03,0.0
BAC,22.63,BAC171215C00034000,call,2017-12-15 00:00:00,2017-06-01 00:00:00,197,34.0,0,3,0.2579,0.0203,1.1452,-0.0537,0.8163,0.03,0.0,-0.03
BAC,22.63,BAC171215P00033000,put,2017-12-15 00:00:00,2017-06-01 00:00:00,197,33.0,0,0,0.3084,-0.9389,2.3563,-0.1355,2.0087,10.45,8.85,-1.57
BAC,22.63,BAC171215C00033000,call,2017-12-15 00:00:00,2017-06-01 00:00:00,197,33.0,0,110,0.2525,0.0266,1.4663,-0.066,1.0234,0.03,0.05,0.02
BAC,22.63,BAC171215P00032000,put,2017-12-15 00:00:00,2017-06-01 00:00:00,197,32.0,0,282,0.2884,-0.9361,2.6092,-0.1313,2.0798,8.6,7.9,-0.7
BAC,22.63,BAC171215C00032000,call,2017-12-15 00:00:00,2017-06-01 00:00:00,197,32.0,0,3897,0.2443,0.0334,1.8309,-0.0772,1.2364,0.05,0.02,-0.03
BAC,22.63,BAC171215P00031000,put,2017-12-15 00:00:00,2017-06-01 00:00:00,197,31.0,0,107,0.2884,-0.9151,3.2415,-0.1691,2.5838,7.65,6.95,-0.7
BAC,22.63,BAC171215C00031000,call,2017-12-15 00:00:00,2017-06-01 00:00:00,197,31.0,0,2825,0.2332,0.0406,2.2505,-0.0864,1.4504,0.06,0.05,-0.01
BAC,22.63,BAC171215P00030000,put,2017-12-15 00:00:00,2017-06-01 00:00:00,197,30.0,0,1068,0.2829,-0.8937,3.9021,-0.2,3.0507,6.15,5.95,-0.2
BAC,22.63,BAC171215C00030000,call,2017-12-15 00:00:00,2017-06-01 00:00:00,197,30.0,21,5810,0.2309,0.0583,3.0337,-0.1143,1.936,0.08,0.06,-0.02
BAC,22.63,BAC171215P00029000,put,2017-12-15 00:00:00,2017-06-01 00:00:00,197,29.0,0,407,0.2728,-0.8709,4.6418,-0.2242,3.4993,6.0,5.0,-1.0
BAC,22.63,BAC170623C00025500,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,25.5,0,454,0.264,0.0353,5.3076,-0.26,0.4324,0.01,0.01,0.0
BAC,22.63,BAC171215C00029000,call,2017-12-15 00:00:00,2017-06-01 00:00:00,197,29.0,16,1172,0.2267,0.0811,3.9846,-0.1448,2.4965,0.12,0.09,-0.03
BAC,22.63,BAC171215C00028000,call,2017-12-15 00:00:00,2017-06-01 00:00:00,197,28.0,53,1617,0.2259,0.1167,5.2211,-0.1886,3.2603,0.19,0.19,0.0
BAC,22.63,BAC170623C00015000,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,15.0,0,0,0.9529,0.9696,1.2979,-0.8366,0.3817,7.7,7.7,0.12
BAC,22.63,BAC170623P00015000,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,15.0,0,0,0.7111,-0.0073,0.5095,-0.1806,0.1118,0.01,0.0,-0.01
BAC,22.63,BAC170623C00016000,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,16.0,0,0,0.824,0.9653,1.6759,-0.8086,0.4261,6.7,6.75,0.12
BAC,22.63,BAC170623P00016000,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,16.0,0,0,0.6104,-0.0084,0.6767,-0.1767,0.1275,0.01,0.0,-0.01
BAC,22.63,BAC170623C00016500,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,16.5,0,0,0.7622,0.9627,1.9227,-0.7942,0.4522,6.2,6.2,0.12
BAC,22.63,BAC170623P00016500,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,16.5,0,0,0.5615,-0.0091,0.7861,-0.1737,0.1362,0.01,0.0,-0.01
BAC,22.63,BAC170623C00017000,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,17.0,0,0,0.7011,0.9599,2.219,-0.7762,0.4801,5.7,6.72,1.02
BAC,22.63,BAC170623P00017000,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,17.0,0,0,0.5142,-0.0099,0.9239,-0.1712,0.1466,0.01,0.0,-0.01
BAC,22.63,BAC170623C00017500,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,17.5,0,0,0.642,0.9565,2.5882,-0.7597,0.5128,5.2,5.2,0.12
BAC,22.63,BAC170623P00017500,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,17.5,0,0,0.5524,-0.0247,1.8865,-0.4034,0.3216,0.03,0.0,-0.03
BAC,22.63,BAC170623C00018000,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,18.0,0,0,0.5836,0.9526,3.0492,-0.7402,0.5492,4.7,4.9,0.2
BAC,22.63,BAC171215P00028000,put,2017-12-15 00:00:00,2017-06-01 00:00:00,197,28.0,0,478,0.2585,-0.8459,5.5225,-0.2419,3.9456,4.41,4.25,-0.16
BAC,22.63,BAC170623P00025500,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,25.5,0,1,0.3773,-0.8928,8.8094,-0.8638,1.0256,2.4,2.67,0.28
BAC,22.63,BAC170623C00026000,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,26.0,0,216,0.2983,0.0317,4.2922,-0.2684,0.3951,0.01,0.02,0.01
BAC,22.63,BAC170623P00026000,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,26.0,0,2,0.45,-0.8849,7.7675,-1.0875,1.0787,3.5,3.15,-0.32
BAC,22.63,BAC171215C00024000,call,2017-12-15 00:00:00,2017-06-01 00:00:00,197,24.0,1011,4656,0.2379,0.4047,9.7977,-0.3946,6.4423,1.01,1.31,0.3
BAC,22.63,BAC171215P00023000,put,2017-12-15 00:00:00,2017-06-01 00:00:00,197,23.0,21,6214,0.245,-0.4971,9.7942,-0.4035,6.6323,1.81,0.82,-0.99
BAC,22.63,BAC171215C00023000,call,2017-12-15 00:00:00,2017-06-01 00:00:00,197,23.0,119,4225,0.2433,0.5025,9.8614,-0.4164,6.6323,1.41,1.96,0.55
BAC,22.63,BAC171215P00022000,put,2017-12-15 00:00:00,2017-06-01 00:00:00,197,22.0,1729,39757,0.2511,-0.4003,9.2563,-0.4023,6.4242,1.33,0.52,-0.81
BAC,22.63,BAC171215C00022000,call,2017-12-15 00:00:00,2017-06-01 00:00:00,197,22.0,1824,6000,0.2496,0.5999,9.3101,-0.4149,6.4235,1.95,2.7,0.75
BAC,22.63,BAC171215P00021000,put,2017-12-15 00:00:00,2017-06-01 00:00:00,197,21.0,60,26985,0.2584,-0.31,8.2112,-0.3793,5.8655,0.95,0.31,-0.64
BAC,22.63,BAC171215C00021000,call,2017-12-15 00:00:00,2017-06-01 00:00:00,197,21.0,78,999,0.2587,0.6898,8.2035,-0.3942,5.8665,2.54,3.45,0.91
BAC,22.63,BAC171215P00020000,put,2017-12-15 00:00:00,2017-06-01 00:00:00,197,20.0,120,43763,0.2688,-0.2324,6.8325,-0.3424,5.077,0.67,0.19,-0.48
BAC,22.63,BAC171215C00020000,call,2017-12-15 00:00:00,2017-06-01 00:00:00,197,20.0,2,6156,0.2831,0.7594,6.6135,-0.3813,5.1749,3.25,4.35,1.1
BAC,22.63,BAC171215P00019000,put,2017-12-15 00:00:00,2017-06-01 00:00:00,197,19.0,534,1157,0.2796,-0.1684,5.4114,-0.2938,4.1815,0.46,0.11,-0.35
BAC,22.63,BAC171215C00019000,call,2017-12-15 00:00:00,2017-06-01 00:00:00,197,19.0,0,234,0.2993,0.8189,5.2936,-0.3424,4.3786,4.15,5.15,1.0
BAC,22.63,BAC171215P00018000,put,2017-12-15 00:00:00,2017-06-01 00:00:00,197,18.0,0,40655,0.2914,-0.1185,4.0924,-0.2418,3.2965,0.31,0.07,-0.24
BAC,22.63,BAC171215P00024000,put,2017-12-15 00:00:00,2017-06-01 00:00:00,197,24.0,23,4116,0.2413,-0.593,9.672,-0.3843,6.4514,2.4,1.24,-1.16
BAC,22.63,BAC171215C00018000,call,2017-12-15 00:00:00,2017-06-01 00:00:00,197,18.0,0,766,0.3163,0.8658,4.1106,-0.2985,3.594,4.63,6.2,1.57
BAC,22.63,BAC171215C00017000,call,2017-12-15 00:00:00,2017-06-01 00:00:00,197,17.0,4,250,0.3383,0.8999,3.1237,-0.2606,2.9205,5.6,8.01,2.41
BAC,22.63,BAC171215P00016000,put,2017-12-15 00:00:00,2017-06-01 00:00:00,197,16.0,0,403,0.3221,-0.056,2.1073,-0.1524,1.8758,0.12,0.03,-0.09
BAC,22.63,BAC171215C00016000,call,2017-12-15 00:00:00,2017-06-01 00:00:00,197,16.0,0,72,0.3505,0.9306,2.2885,-0.2069,2.2169,6.85,8.1,1.27
BAC,22.63,BAC171215P00015000,put,2017-12-15 00:00:00,2017-06-01 00:00:00,197,15.0,0,2349,0.3444,-0.0394,1.4879,-0.1231,1.4162,0.08,0.01,-0.07
BAC,22.63,BAC171215C00015000,call,2017-12-15 00:00:00,2017-06-01 00:00:00,197,15.0,0,522,0.4023,0.9387,1.8116,-0.2148,2.0142,7.85,9.51,1.66
BAC,22.63,BAC171215P00014000,put,2017-12-15 00:00:00,2017-06-01 00:00:00,197,14.0,0,255,0.3666,-0.0273,1.0308,-0.0967,1.0444,0.07,0.01,-0.06
BAC,22.63,BAC171215C00014000,call,2017-12-15 00:00:00,2017-06-01 00:00:00,197,14.0,0,5,0.428,0.9544,1.3472,-0.1819,1.5937,8.8,10.13,1.33
BAC,22.63,BAC171215P00013000,put,2017-12-15 00:00:00,2017-06-01 00:00:00,197,13.0,0,1593,0.392,-0.0191,0.713,-0.0765,0.7725,0.03,0.02,-0.01
BAC,22.63,BAC171215C00013000,call,2017-12-15 00:00:00,2017-06-01 00:00:00,197,13.0,0,30,0.4459,0.9686,0.9542,-0.1415,1.1761,9.75,11.1,1.37
BAC,22.63,BAC171117P00037000,put,2017-11-17 00:00:00,2017-06-01 00:00:00,169,37.0,0,0,0.4074,-0.9485,1.6826,-0.1713,1.6254,13.75,12.9,-0.85
