Symbol,UnderlyingPrice,OptionSymbol,Type,Expiration,DataDate,DaysLeft,Strike,Volume,OpenInterest,IV,Delta,Gamma,Theta,Vega,PurchasePrice,ExpirationPrice,Profit
DATA,62.43,DATA170616C00030000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,30.0,0,0,2.2758,0.9656,0.2646,-7.3358,0.9641,32.9,31.5,-0.93
DATA,62.43,DATA170623P00045500,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,45.5,0,0,1.2589,-0.1193,1.0324,-8.7292,3.0523,1.3,0.0,-1.3
DATA,62.43,DATA170623C00045500,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,45.5,0,0,1.0661,0.9099,0.9947,-6.063,2.4906,17.7,14.9,-1.23
DATA,62.43,DATA170623P00045000,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,45.0,0,0,1.0681,-0.0837,0.9401,-5.7223,2.3583,0.7,0.0,-0.7
DATA,62.43,DATA170623C00045000,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,45.0,0,0,1.244,0.8898,0.9878,-8.1869,2.886,18.6,15.9,-1.63
DATA,62.43,DATA170623P00044500,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,44.5,0,0,0.7221,-0.0228,0.4885,-1.3589,0.8284,0.1,0.0,-0.1
DATA,62.43,DATA170623C00044500,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,44.5,0,0,0.9846,0.936,0.83,-4.323,1.9192,18.4,15.7,-0.93
DATA,62.43,DATA170623P00044000,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,44.0,0,0,0.7427,-0.0222,0.4641,-1.3658,0.8095,0.1,0.0,-0.1
DATA,62.43,DATA170623C00044000,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,44.0,0,0,1.5962,0.862,0.9012,-12.2814,3.3783,20.5,16.7,-2.53
DATA,62.43,DATA170623P00043500,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,43.5,0,0,0.7637,-0.0216,0.4416,-1.3742,0.7921,0.1,0.0,-0.1
DATA,62.43,DATA170623C00043500,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,43.5,0,0,0.98,0.9477,0.712,-3.6781,1.6387,19.3,17.0,-0.83
DATA,62.43,DATA170623P00043000,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,43.0,0,0,0.7849,-0.0211,0.4206,-1.3823,0.7752,0.1,0.0,-0.1
DATA,62.43,DATA170623C00043000,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,43.0,0,0,1.2527,0.9141,0.8167,-6.8681,2.4028,20.3,17.7,-1.33
DATA,62.43,DATA170623P00042500,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,42.5,0,0,0.806,-0.0205,0.4006,-1.3885,0.7583,0.1,0.0,-0.1
DATA,62.43,DATA170623C00042500,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,42.5,0,0,1.2396,0.9217,0.7702,-6.3438,2.2422,20.7,17.8,-1.23
DATA,62.43,DATA170623P00042000,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,42.0,0,0,0.8278,-0.02,0.3823,-1.3976,0.7431,0.1,0.0,-0.1
DATA,62.43,DATA170714C00062000,call,2017-07-14 00:00:00,2017-06-01 00:00:00,43,62.0,0,0,0.3254,0.5479,5.6805,-3.2328,8.4862,3.0,2.05,-0.95
DATA,62.43,DATA170623P00041500,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,41.5,0,0,0.8495,-0.0195,0.3648,-1.4046,0.7278,0.1,0.0,-0.1
DATA,62.43,DATA170623C00041500,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,41.5,0,0,1.3445,0.9197,0.7239,-7.0106,2.2857,21.8,18.6,-1.33
DATA,62.43,DATA170623P00041000,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,41.0,0,0,1.5344,-0.0959,0.724,-9.0952,2.6089,1.25,0.0,-1.25
DATA,62.43,DATA170623C00041000,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,41.0,0,0,1.2817,0.9324,0.6651,-5.8588,2.0022,22.1,19.8,-1.13
DATA,62.43,DATA170623P00040500,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,40.5,0,0,1.5683,-0.0939,0.6974,-9.1531,2.5686,1.25,0.0,-1.25
DATA,62.43,DATA170623C00040500,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,40.5,0,0,1.2014,0.9469,0.5878,-4.5552,1.6586,22.4,20.0,-0.93
DATA,62.43,DATA170623P00040000,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,40.0,0,0,1.2804,-0.0577,0.5891,-5.1537,1.7715,0.55,0.0,-0.55
