Symbol,UnderlyingPrice,OptionSymbol,Type,Expiration,DataDate,DaysLeft,Strike,Volume,OpenInterest,IV,Delta,Gamma,Theta,Vega,PurchasePrice,ExpirationPrice,Profit
PSTG,13.24,PSTG170616C00002500,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,2.5,0,0,6.1264,0.9752,0.3531,-3.1838,0.1558,11.0,10.5,-0.37
PSTG,13.24,PSTG170915P00010000,put,2017-09-15 00:00:00,2017-06-01 00:00:00,106,10.0,0,4212,0.5098,-0.1227,5.5863,-0.3474,1.4498,0.25,0.2,-0.05
PSTG,13.24,PSTG170915C00012500,call,2017-09-15 00:00:00,2017-06-01 00:00:00,106,12.5,156,787,0.4682,0.6395,11.2062,-0.5944,2.6707,1.58,1.57,-0.01
PSTG,13.24,PSTG170915P00012500,put,2017-09-15 00:00:00,2017-06-01 00:00:00,106,12.5,0,69,0.4865,-0.362,10.7988,-0.6097,2.6742,0.96,0.96,0.0
PSTG,13.24,PSTG170915C00015000,call,2017-09-15 00:00:00,2017-06-01 00:00:00,106,15.0,112,701,0.4458,0.3459,11.5941,-0.5561,2.6314,0.63,0.65,0.02
PSTG,13.24,PSTG170915P00015000,put,2017-09-15 00:00:00,2017-06-01 00:00:00,106,15.0,0,0,0.4838,-0.6352,10.8875,-0.6045,2.6814,2.5,2.3,-0.2
PSTG,13.24,PSTG170915C00017500,call,2017-09-15 00:00:00,2017-06-01 00:00:00,106,17.5,0,0,0.4899,0.1783,7.4621,-0.4315,1.861,0.3,0.15,-0.15
PSTG,13.24,PSTG170915P00017500,put,2017-09-15 00:00:00,2017-06-01 00:00:00,106,17.5,0,0,0.6116,-0.7516,7.2582,-0.6418,2.2597,4.8,4.4,-0.4
PSTG,13.24,PSTG170915C00020000,call,2017-09-15 00:00:00,2017-06-01 00:00:00,106,20.0,0,1,0.5265,0.0952,4.5064,-0.3008,1.2078,0.05,0.05,0.0
PSTG,13.24,PSTG170915P00020000,put,2017-09-15 00:00:00,2017-06-01 00:00:00,106,20.0,0,0,0.6023,-0.8657,5.0343,-0.426,1.5436,7.0,6.8,-0.13
PSTG,13.24,PSTG170721P00020000,put,2017-07-21 00:00:00,2017-06-01 00:00:00,50,20.0,0,0,0.8701,-0.8684,5.0039,-0.8971,1.0454,7.0,6.7,-0.13
PSTG,13.24,PSTG170721C00020000,call,2017-07-21 00:00:00,2017-06-01 00:00:00,50,20.0,0,0,0.6126,0.0442,3.1096,-0.2806,0.4574,0.05,0.0,-0.05
PSTG,13.24,PSTG170721P00017500,put,2017-07-21 00:00:00,2017-06-01 00:00:00,50,17.5,0,0,0.6702,-0.8411,7.3737,-0.7847,1.1866,4.5,4.2,-0.13
PSTG,13.24,PSTG170721P00015000,put,2017-07-21 00:00:00,2017-06-01 00:00:00,50,15.0,0,0,0.473,-0.7335,14.1718,-0.7534,1.6096,2.1,1.96,-0.14
PSTG,13.24,PSTG170721C00015000,call,2017-07-21 00:00:00,2017-06-01 00:00:00,50,15.0,31,43,0.4444,0.25,14.5925,-0.6941,1.5571,0.2,0.22,0.02
