Symbol,UnderlyingPrice,OptionSymbol,Type,Expiration,DataDate,DaysLeft,Strike,Volume,OpenInterest,IV,Delta,Gamma,Theta,Vega,PurchasePrice,ExpirationPrice,Profit,calliv,putiv,meaniv,callvol,putvol,calloi,putoi
BAC,22.63,BAC170616C00002000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,2.0,0,0,7.28,0.9914,0.07,-2.6038,0.1072,20.8,21.4,0.6,0.2450,0.2364,0.2407,156183,117843,3811148,2500228
BAC,22.63,BAC171215C00013000,call,2017-12-15 00:00:00,2017-06-01 00:00:00,197,13.0,0,30,0.4459,0.9686,0.9542,-0.1415,1.1761,9.75,9.9,0.15,0.2450,0.2364,0.2407,156183,117843,3811148,2500228
BAC,22.63,BAC171117P00037000,put,2017-11-17 00:00:00,2017-06-01 00:00:00,169,37.0,0,0,0.4074,-0.9485,1.6826,-0.1713,1.6254,13.75,14.7,1.02,0.2450,0.2364,0.2407,156183,117843,3811148,2500228
BAC,22.63,BAC171117C00037000,call,2017-11-17 00:00:00,2017-06-01 00:00:00,169,37.0,0,610,0.2846,0.0074,0.4682,-0.0267,0.316,0.01,0.03,0.02,0.2450,0.2364,0.2407,156183,117843,3811148,2500228
BAC,22.63,BAC171117P00036000,put,2017-11-17 00:00:00,2017-06-01 00:00:00,169,36.0,0,0,0.3891,-0.947,1.8022,-0.1675,1.6627,13.45,13.7,0.32,0.2450,0.2364,0.2407,156183,117843,3811148,2500228
BAC,22.63,BAC171117C00036000,call,2017-11-17 00:00:00,2017-06-01 00:00:00,169,36.0,0,100,0.2941,0.0134,0.7596,-0.0463,0.5298,0.02,0.07,0.05,0.2450,0.2364,0.2407,156183,117843,3811148,2500228
BAC,22.63,BAC171117P00035000,put,2017-11-17 00:00:00,2017-06-01 00:00:00,169,35.0,0,0,0.37,-0.9454,1.9422,-0.1634,1.704,12.45,12.7,0.32,0.2450,0.2364,0.2407,156183,117843,3811148,2500228
BAC,22.63,BAC171117C00035000,call,2017-11-17 00:00:00,2017-06-01 00:00:00,169,35.0,0,0,0.2792,0.0141,0.836,-0.0459,0.5535,0.02,0.0,-0.02,0.2450,0.2364,0.2407,156183,117843,3811148,2500228
BAC,22.63,BAC171117P00034000,put,2017-11-17 00:00:00,2017-06-01 00:00:00,169,34.0,0,0,0.3503,-0.9434,2.1098,-0.1591,1.7523,8.65,11.7,3.12,0.2450,0.2364,0.2407,156183,117843,3811148,2500228
BAC,22.63,BAC171215P00013000,put,2017-12-15 00:00:00,2017-06-01 00:00:00,197,13.0,0,1593,0.392,-0.0191,0.713,-0.0765,0.7725,0.03,0.03,0.0,0.2450,0.2364,0.2407,156183,117843,3811148,2500228
BAC,22.63,BAC171117C00034000,call,2017-11-17 00:00:00,2017-06-01 00:00:00,169,34.0,0,20,0.2632,0.0147,0.9206,-0.045,0.5746,0.02,0.03,0.01,0.2450,0.2364,0.2407,156183,117843,3811148,2500228
BAC,22.63,BAC171117C00033000,call,2017-11-17 00:00:00,2017-06-01 00:00:00,169,33.0,0,145,0.2613,0.0214,1.2729,-0.0613,0.7887,0.02,0.02,0.0,0.2450,0.2364,0.2407,156183,117843,3811148,2500228
BAC,22.63,BAC171117P00032000,put,2017-11-17 00:00:00,2017-06-01 00:00:00,169,32.0,0,8,0.3082,-0.9384,2.5618,-0.1497,1.8723,7.5,9.7,2.27,0.2450,0.2364,0.2407,156183,117843,3811148,2500228
