Symbol,UnderlyingPrice,OptionSymbol,Type,Expiration,DataDate,DaysLeft,Strike,Volume,OpenInterest,IV,Delta,Gamma,Theta,Vega,PurchasePrice,ExpirationPrice,Profit,calliv,putiv,meaniv,callvol,putvol,calloi,putoi
FB,151.53,FB170616C00030000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,30.0,0,19,3.9692,0.9921,0.0177,-8.7877,0.6625,120.2,122.55,2.61,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB170623P00105000,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,105.0,0,3,0.5592,-0.0031,0.0447,-0.4394,0.3459,0.02,0.03,0.01,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB170623C00110000,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,110.0,0,3,0.7874,0.9603,0.2922,-5.7685,3.1831,38.74,42.7,4.07,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB170623P00110000,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,110.0,0,0,0.4944,-0.0035,0.0565,-0.4338,0.3863,0.02,0.0,-0.02,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB170623C00115000,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,115.0,0,0,0.6956,0.9556,0.3624,-5.5895,3.4879,37.05,37.7,0.76,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB170623P00115000,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,115.0,0,79,0.4311,-0.0039,0.0721,-0.421,0.43,0.02,0.03,0.01,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB170623C00118000,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,118.0,0,0,0.6551,0.9491,0.429,-5.8659,3.8884,34.1,34.7,0.71,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB170623P00118000,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,118.0,0,5,0.4131,-0.0059,0.1089,-0.5842,0.6227,0.03,0.03,0.0,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB170623C00119000,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,119.0,0,0,0.6371,0.9479,0.45,-5.8197,3.9662,33.1,33.7,0.71,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB170623P00119000,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,119.0,0,0,0.4005,-0.0061,0.1152,-0.5805,0.6382,0.03,0.0,-0.03,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB170623C00120000,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,120.0,0,0,0.6192,0.9465,0.4725,-5.774,4.0478,32.1,32.7,0.71,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB170623P00120000,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,120.0,0,33,0.3883,-0.0063,0.1224,-0.5799,0.6577,0.03,0.02,-0.01,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB170623C00121000,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,121.0,0,0,0.6013,0.9451,0.4967,-5.7258,4.1323,24.7,31.7,7.11,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB170623P00121000,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,121.0,0,0,0.3757,-0.0064,0.1295,-0.5745,0.6734,0.03,0.0,-0.03,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB170623C00122000,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,122.0,0,0,0.5836,0.9436,0.5227,-5.6768,4.2205,30.1,30.7,0.71,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB170623P00122000,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,122.0,0,0,0.3635,-0.0067,0.1378,-0.5723,0.6933,0.03,0.0,-0.03,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB170623C00123000,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,123.0,0,0,0.5659,0.942,0.5507,-5.6255,4.3122,29.1,29.7,0.71,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB170623P00123000,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,123.0,0,0,0.3513,-0.0069,0.1468,-0.5693,0.7136,0.03,0.0,-0.03,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB170623C00124000,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,124.0,0,0,0.5484,0.9404,0.5811,-5.575,4.4092,28.1,28.7,0.71,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB170623P00124000,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,124.0,0,0,0.3391,-0.0071,0.1565,-0.5654,0.7344,0.03,0.0,-0.03,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB170623C00125000,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,125.0,0,4,0.5308,0.9386,0.614,-5.5207,4.5096,24.75,27.7,3.06,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB170623P00125000,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,125.0,0,159,0.3389,-0.0092,0.1969,-0.7104,0.9233,0.04,0.04,0.0,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB170623C00126000,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,126.0,0,0,0.5133,0.9368,0.6497,-5.4644,4.6146,26.1,26.7,0.71,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB170623P00126000,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,126.0,0,5,0.3265,-0.0095,0.2107,-0.7057,0.952,0.04,0.04,0.0,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB170623C00105000,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,105.0,0,0,0.8989,0.9619,0.2476,-6.3614,3.0798,47.1,47.6,0.71,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB170623P00100000,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,100.0,0,0,0.6271,-0.0027,0.0361,-0.4464,0.3133,0.02,0.01,-0.01,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB170623C00100000,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,100.0,0,0,0.9809,0.9676,0.1986,-6.0734,2.6946,52.05,52.6,0.76,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB170623P00095000,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,95.0,0,0,0.6981,-0.0025,0.0295,-0.4525,0.2853,0.02,0.0,-0.02,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB180119C00155000,call,2018-01-19 00:00:00,2017-06-01 00:00:00,232,155.0,1378,9713,0.2466,0.4965,1.3389,-2.606,48.193,10.35,10.5,0.15,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB180119P00155000,put,2018-01-19 00:00:00,2017-06-01 00:00:00,232,155.0,42,1888,0.2233,-0.5117,1.4782,-2.2568,48.1743,12.45,11.1,-1.35,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB180119C00160000,call,2018-01-19 00:00:00,2017-06-01 00:00:00,232,160.0,258,15059,0.2421,0.4297,1.3429,-2.5143,47.445,8.1,8.2,0.1,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB180119P00160000,put,2018-01-19 00:00:00,2017-06-01 00:00:00,232,160.0,8,1738,0.2163,-0.587,1.49,-2.1221,47.0437,15.3,13.87,-1.43,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB180119C00165000,call,2018-01-19 00:00:00,2017-06-01 00:00:00,232,165.0,78,9299,0.2361,0.3632,1.3155,-2.3404,45.3343,6.2,6.2,0.0,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB180119P00165000,put,2018-01-19 00:00:00,2017-06-01 00:00:00,232,165.0,29,1324,0.2137,-0.6574,1.4236,-1.9633,44.3921,18.45,16.85,-1.6,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB180119C00170000,call,2018-01-19 00:00:00,2017-06-01 00:00:00,232,170.0,72,9529,0.2312,0.3004,1.2457,-2.1217,42.0276,4.8,4.7,-0.1,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB180119P00170000,put,2018-01-19 00:00:00,2017-06-01 00:00:00,232,170.0,35,714,0.2093,-0.7245,1.3207,-1.7299,40.3473,22.05,20.3,-1.75,0.1736,0.1711,0.1724,96801,53676,1207852,856175
