Symbol,UnderlyingPrice,OptionSymbol,Type,Expiration,DataDate,DaysLeft,Strike,Volume,OpenInterest,IV,Delta,Gamma,Theta,Vega,PurchasePrice,ExpirationPrice,Profit,calliv,putiv,meaniv,callvol,putvol,calloi,putoi
F,11.41,F170616C00003000,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,3.0,0,20,4.3762,0.9744,0.5892,-2.0141,0.1379,8.4,8.4,0.0,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F170714C00012000,call,2017-07-14 00:00:00,2017-06-01 00:00:00,43,12.0,84,0,0.2247,0.2705,37.611,-0.3406,1.2959,0.12,0.03,-0.09,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F170714P00011500,put,2017-07-14 00:00:00,2017-06-01 00:00:00,43,11.5,58,0,0.3225,-0.5052,31.5832,-0.5816,1.5621,0.35,0.48,0.13,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F170714C00011500,call,2017-07-14 00:00:00,2017-06-01 00:00:00,43,11.5,177,0,0.205,0.4712,49.5555,-0.375,1.5582,0.26,0.13,-0.13,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F170714P00011000,put,2017-07-14 00:00:00,2017-06-01 00:00:00,43,11.0,10,0,0.2417,-0.3134,37.4558,-0.3875,1.3881,0.13,0.2,0.07,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F170714C00011000,call,2017-07-14 00:00:00,2017-06-01 00:00:00,43,11.0,0,0,0.2678,0.6727,34.4205,-0.445,1.4135,0.65,0.47,-0.18,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F170714P00010500,put,2017-07-14 00:00:00,2017-06-01 00:00:00,43,10.5,0,0,0.2878,-0.1857,23.7402,-0.3492,1.0478,0.12,0.09,-0.03,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F170714C00010500,call,2017-07-14 00:00:00,2017-06-01 00:00:00,43,10.5,0,0,0.3563,0.7713,21.6922,-0.4964,1.1852,1.11,0.71,-0.4,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F170714P00010000,put,2017-07-14 00:00:00,2017-06-01 00:00:00,43,10.0,0,0,0.3267,-0.1084,14.5441,-0.276,0.7287,0.07,0.03,-0.04,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F170714C00010000,call,2017-07-14 00:00:00,2017-06-01 00:00:00,43,10.0,0,0,0.396,0.851,14.9697,-0.4242,0.909,1.54,1.15,-0.39,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F170714P00009500,put,2017-07-14 00:00:00,2017-06-01 00:00:00,43,9.5,0,0,0.3822,-0.0716,9.1227,-0.2371,0.5347,0.05,0.0,-0.05,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F170714C00009500,call,2017-07-14 00:00:00,2017-06-01 00:00:00,43,9.5,0,0,0.5089,0.8724,10.4776,-0.4893,0.8176,2.05,1.87,-0.18,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F170714P00009000,put,2017-07-14 00:00:00,2017-06-01 00:00:00,43,9.0,0,0,0.4684,-0.0596,6.4613,-0.2524,0.4642,0.05,0.0,-0.05,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F170714C00009000,call,2017-07-14 00:00:00,2017-06-01 00:00:00,43,9.0,0,0,0.5844,0.9005,7.6378,-0.4705,0.6845,2.53,2.13,-0.4,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F170714P00008500,put,2017-07-14 00:00:00,2017-06-01 00:00:00,43,8.5,0,0,0.5314,-0.0439,4.4647,-0.2245,0.3638,0.04,0.0,-0.04,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F170714C00008500,call,2017-07-14 00:00:00,2017-06-01 00:00:00,43,8.5,0,0,0.8554,0.8751,6.1431,-0.8064,0.8059,3.15,2.62,-0.53,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F170714P00008000,put,2017-07-14 00:00:00,2017-06-01 00:00:00,43,8.0,0,0,0.7816,-0.0723,4.4977,-0.4894,0.5391,0.11,0.0,-0.11,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F170714C00008000,call,2017-07-14 00:00:00,2017-06-01 00:00:00,43,8.0,0,0,0.909,0.9023,4.8456,-0.7187,0.6755,3.6,2.95,-0.48,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F170714P00007500,put,2017-07-14 00:00:00,2017-06-01 00:00:00,43,7.5,0,0,0.872,-0.0603,3.5003,-0.4742,0.4681,0.1,0.0,-0.1,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F170714C00007500,call,2017-07-14 00:00:00,2017-06-01 00:00:00,43,7.5,0,0,1.3733,0.87,3.9331,-1.3267,0.8283,4.35,2.27,-0.73,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F170714P00007000,put,2017-07-14 00:00:00,2017-06-01 00:00:00,43,7.0,0,0,1.0103,-0.0567,2.8793,-0.5236,0.4461,0.11,0.0,-0.11,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F170714C00007000,call,2017-07-14 00:00:00,2017-06-01 00:00:00,43,7.0,0,0,1.3977,0.896,3.2997,-1.1534,0.7073,4.75,2.68,-0.63,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F170714P00006500,put,2017-07-14 00:00:00,2017-06-01 00:00:00,43,6.5,0,0,1.1597,-0.0533,2.3901,-0.5727,0.425,0.12,0.0,-0.12,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F170714C00006500,call,2017-07-14 00:00:00,2017-06-01 00:00:00,43,6.5,0,0,1.3947,0.9215,2.6823,-0.9341,0.5737,5.15,4.0,-0.53,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F170714P00006000,put,2017-07-14 00:00:00,2017-06-01 00:00:00,43,6.0,0,0,0.9216,-0.0142,1.0024,-0.1517,0.1417,0.02,0.0,-0.02,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F170714C00006000,call,2017-07-14 00:00:00,2017-06-01 00:00:00,43,6.0,0,0,1.6441,0.9224,2.2554,-1.0906,0.5687,5.7,5.0,-0.58,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F170623P00019500,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,19.5,0,0,1.7376,-0.8515,4.759,-2.5501,0.6487,8.4,8.25,-0.02,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F170623C00019500,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,19.5,0,0,1.3767,0.0783,3.7944,-1.2831,0.4098,0.12,0.0,-0.12,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F170714P00012000,put,2017-07-14 00:00:00,2017-06-01 00:00:00,43,12.0,0,0,0.2863,-0.6776,31.9972,-0.4619,1.4048,0.81,0.86,0.07,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F170714C00012500,call,2017-07-14 00:00:00,2017-06-01 00:00:00,43,12.5,0,0,0.2068,0.1064,22.6679,-0.1736,0.7187,0.04,0.0,-0.04,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F170714P00012500,put,2017-07-14 00:00:00,2017-06-01 00:00:00,43,12.5,0,0,0.3483,-0.7584,22.8776,-0.4881,1.2219,1.27,1.35,0.11,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F170714C00013000,call,2017-07-14 00:00:00,2017-06-01 00:00:00,43,13.0,0,0,0.3349,0.1412,17.0699,-0.3425,0.8767,0.09,0.0,-0.09,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F170721P00003000,put,2017-07-21 00:00:00,2017-06-01 00:00:00,50,3.0,0,0,1.532,-0.0041,0.189,-0.0791,0.0516,0.01,0.0,-0.01,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F170721C00003000,call,2017-07-21 00:00:00,2017-06-01 00:00:00,50,3.0,0,0,2.5787,0.9698,0.629,-0.7476,0.2892,8.6,7.95,-0.48,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F180119C00014750,call,2018-01-19 00:00:00,2017-06-01 00:00:00,232,14.75,885,134417,0.2309,0.0979,8.2228,-0.0789,1.5713,0.08,0.05,-0.03,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F180119P00014750,put,2018-01-19 00:00:00,2017-06-01 00:00:00,232,14.75,4,23361,0.3967,-0.7417,8.9576,-0.243,2.9406,3.56,3.92,0.36,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F180119C00016750,call,2018-01-19 00:00:00,2017-06-01 00:00:00,232,16.75,10,46503,0.2756,0.0515,4.2145,-0.0575,0.9612,0.03,0.02,-0.01,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F180119P00016750,put,2018-01-19 00:00:00,2017-06-01 00:00:00,232,16.75,0,2174,0.6641,-0.6763,5.9478,-0.4583,3.2687,5.87,5.87,0.0,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F180119C00017000,call,2018-01-19 00:00:00,2017-06-01 00:00:00,232,17.0,0,22797,0.2594,0.0346,3.245,-0.0392,0.6965,0.03,0.03,0.0,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
