Symbol,UnderlyingPrice,OptionSymbol,Type,Expiration,DataDate,DaysLeft,Strike,Volume,OpenInterest,IV,Delta,Gamma,Theta,Vega,PurchasePrice,ExpirationPrice,Profit,calliv,putiv,meaniv,callvol,putvol,calloi,putoi
NAVI,14.63,NAVI170616C00002500,call,2017-06-16 00:00:00,2017-06-01 00:00:00,15,2.5,0,0,6.3995,0.9778,0.2785,-3.3449,0.1567,12.4,11.6,-0.47,0.3919,0.3989,0.3954,11,91,17867,35074
NAVI,14.63,NAVI171020P00007500,put,2017-10-20 00:00:00,2017-06-01 00:00:00,141,7.5,0,0,0.8375,-0.0611,1.5863,-0.3255,1.0984,0.25,0.25,0.0,0.3919,0.3989,0.3954,11,91,17867,35074
NAVI,14.63,NAVI171020C00007500,call,2017-10-20 00:00:00,2017-06-01 00:00:00,141,7.5,0,0,0.7505,0.9523,1.4552,-0.2449,0.903,7.3,6.8,-0.37,0.3919,0.3989,0.3954,11,91,17867,35074
NAVI,14.63,NAVI171020P00005000,put,2017-10-20 00:00:00,2017-06-01 00:00:00,141,5.0,0,0,1.1185,-0.0292,0.6533,-0.2392,0.6041,0.15,0.0,-0.15,0.3919,0.3989,0.3954,11,91,17867,35074
NAVI,14.63,NAVI171020C00005000,call,2017-10-20 00:00:00,2017-06-01 00:00:00,141,5.0,0,0,1.1431,0.9691,0.6708,-0.26,0.6339,9.8,9.3,-0.37,0.3919,0.3989,0.3954,11,91,17867,35074
NAVI,14.63,NAVI171020P00002500,put,2017-10-20 00:00:00,2017-06-01 00:00:00,141,2.5,0,1,1.4633,-0.0082,0.1689,-0.106,0.2044,0.05,0.05,0.0,0.3919,0.3989,0.3954,11,91,17867,35074
NAVI,14.63,NAVI171020C00002500,call,2017-10-20 00:00:00,2017-06-01 00:00:00,141,2.5,0,0,1.8547,0.9826,0.2554,-0.259,0.3917,12.3,11.8,-0.37,0.3919,0.3989,0.3954,11,91,17867,35074
NAVI,14.63,NAVI180119C00012500,call,2018-01-19 00:00:00,2017-06-01 00:00:00,232,12.5,0,1478,0.4003,0.7446,6.8831,-0.3288,3.7484,2.76,2.76,0.0,0.3919,0.3989,0.3954,11,91,17867,35074
NAVI,14.63,NAVI170721P00035000,put,2017-07-21 00:00:00,2017-06-01 00:00:00,50,35.0,0,0,1.2913,-0.9436,1.6233,-0.7701,0.6145,20.5,20.4,0.07,0.3919,0.3989,0.3954,11,91,17867,35074
NAVI,14.63,NAVI170721C00035000,call,2017-07-21 00:00:00,2017-06-01 00:00:00,50,35.0,0,0,1.2161,0.0434,1.3988,-0.6069,0.4987,0.1,0.0,-0.1,0.3919,0.3989,0.3954,11,91,17867,35074
